Date;Kilde;Forfatter;NNPF_assosiert
torsdag 30. mai 2019; https://www.aftenposten.no/norge/i/Jo7kjP/politiet-evakuerer-beboere-i-valloe-etter-bombefunn ; author: NTB ; NNPF: Line Andresen Olstad
onsdag 22. mai 2019; https://www.aftenposten.no/norge/i/Jo7yXm/67-personer-er-siktet-og-over-2300-vaapen-beslaglagt-etter-operasjon-bonanza-flere-med-tilknytning-til-forsvaret-og-politiet ; author: Per Annar Holm ; NNPF: Kjell Johan Abrahamsen
onsdag 15. mai 2019; https://www.aftenposten.no/norge/i/K3Gb06/ekspert-om-trine-frantzen-gravingen-svaert-vanskelig-aa-fastslaa-doedsaarsak-15-aar-etter ; author: Per LindbergBergens Tidende ; NNPF: Tore Salvesen
onsdag 15. mai 2019; https://www.aftenposten.no/norge/i/K3Gb06/ekspert-om-trine-frantzen-gravingen-svaert-vanskelig-aa-fastslaa-doedsaarsak-15-aar-etter ; author: Per LindbergBergens Tidende ; NNPF: Trine Frantzen
mandag 1. april 2019; https://www.aftenposten.no/norge/i/na1ORm/mann-i-20-aarene-solgte-katta-i-sekken-paa-finnno-naa-er-han-doemt-til-maaneder-i-fengsel ; author: Per Annar Holm ; NNPF: Magnar Pedersen
onsdag 20. mars 2019; https://www.aftenposten.no/norge/i/0EeoXJ/kripos-aapner-etterforskning-av-dataangrepet-mot-hydro ; author: NTB ; NNPF: Knut Jostein Sætnan
mandag 11. mars 2019; https://www.aftenposten.no/norge/i/G1ow0q/skanner-gravplass-i-soeket-etter-trine-frantzen ; author: Ørjan Torheim ; NNPF: Tore Salvesen
mandag 11. mars 2019; https://www.aftenposten.no/norge/i/G1ow0q/skanner-gravplass-i-soeket-etter-trine-frantzen ; author: Ørjan Torheim ; NNPF: Trine Frantzen
søndag 17. februar 2019; https://www.aftenposten.no/norge/i/QleQb8/to-nye-paagrepet-etter-drapet-i-bergen-til-sammen-tolv-siktet-i-saken ; author: NTB ; NNPF: Tore Salvesen
tirsdag 5. februar 2019; https://www.aftenposten.no/norge/i/3jAXAX/her-stjeler-de-bensinen-foer-de-ender-opp-i-groefta ; author: Marit Horve Reite ; NNPF: John Repstad
